tournament,stage,matchday,player,player_id,team,team_id,kills,kill_share,raw_kill_share,team_average_placement,raw_team_average_placement,games,team_games,team_total_kills,lobby_kills,individual_lobby_placement,team_lobby_placements,team_lobby_kills,matchday_placement,player_matchday_rank,lobby_1_kills,lobby_2_kills,lobby_3_kills,individual_lobby_1_placement,individual_lobby_2_placement,individual_lobby_3_placement,team_lobby_1_placement,team_lobby_2_placement,team_lobby_3_placement,team_lobby_1_kills,team_lobby_2_kills,team_lobby_3_kills,ign,player_class,total_placement_points,total_kill_points,team_bonus_points,team_total_points,average_kills_per_game,raw_average_kills_per_game,total_damage,average_damage_per_game,average_accuracy
FRIENDS OR FOES,Standard,1,POISON,QZIn6rAU2CGPFbGbQu4v,GOAT ESPORT,tm_ws9x2fl5b,37,38.5,38.54166666666667,6.33,6.333333333333333,3,3,96,"{""1"":7,""2"":18,""3"":12}","{""1"":16,""2"":2,""3"":1}","{""1"":16,""2"":2,""3"":1}","{""1"":14,""2"":45,""3"":37}",1,1,7,18,12,16,2,1,16,2,1,14,45,37,毒GOAT SHUSH,Class 1,105,384,0,489,12.33,12.333333333333334,0,0,0
FRIENDS OR FOES,Standard,1,ICONIC,Bupc8GCd3yBuLtWbFou4,KYZON ALLIANCE,tm_3fapr2cz9,32,42.1,42.10526315789473,10,10,3,3,76,"{""1"":6,""2"":14,""3"":12}","{""1"":15,""2"":13,""3"":2}","{""1"":15,""2"":13,""3"":2}","{""1"":14,""2"":30,""3"":32}",6,2,6,14,12,15,13,2,15,13,2,14,30,32,KZ GIANNA,Class 1,75,304,0,379,10.67,10.666666666666666,0,0,0
FRIENDS OR FOES,Standard,1,ANDREW,zccOX3iQQuevsZAxcr4f,REMEDIUM INVICTUS,tm_kdh97vkx3,30,38.5,38.46153846153847,9.67,9.666666666666666,3,3,78,"{""1"":16,""2"":7,""3"":7}","{""1"":2,""2"":12,""3"":15}","{""1"":2,""2"":12,""3"":15}","{""1"":34,""2"":25,""3"":19}",5,3,16,7,7,2,12,15,2,12,15,34,25,19,水RDM・XAKII,Class 1,75,312,0,387,10,10,0,0,0
FRIENDS OR FOES,Standard,1,COLDSKI,ZMq7kz2SSMfPugtDW1dB,KYZON ESPORTS,tm_yvpteelv4,29,35.4,35.36585365853659,7.67,7.666666666666667,3,3,82,"{""1"":11,""2"":9,""3"":9}","{""1"":5,""2"":14,""3"":4}","{""1"":5,""2"":14,""3"":4}","{""1"":24,""2"":31,""3"":27}",3,4,11,9,9,5,14,4,5,14,4,24,31,27,ҞZ・COLDSKI,Class 1,80,328,0,408,9.67,9.666666666666666,0,0,0
FRIENDS OR FOES,Standard,1,DERAZ,pPvCKKzMoO9wgFzAq0sd,DEVELOPERS,tm_w0a02yn8h,29,43.9,43.93939393939394,10.67,10.666666666666666,3,3,66,"{""1"":13,""2"":4,""3"":12}","{""1"":4,""2"":19,""3"":9}","{""1"":4,""2"":19,""3"":9}","{""1"":34,""2"":9,""3"":23}",8,5,13,4,12,4,19,9,4,19,9,34,9,23,DERAZYT.DXV,Class 1,65,264,0,329,9.67,9.666666666666666,0,0,0
FRIENDS OR FOES,Standard,1,SWAYZE,qefoLXaT9gaO2ycKQocy,Narcissist,ukMz1QObm2RORWQOa9dc,28,31.8,31.818181818181817,7,7,3,3,88,"{""1"":7,""2"":7,""3"":14}","{""1"":10,""2"":5,""3"":6}","{""1"":10,""2"":5,""3"":6}","{""1"":22,""2"":33,""3"":33}",2,6,7,7,14,10,5,6,10,5,6,22,33,33,口ISWAYZETT,Class 1,70,352,0,422,9.33,9.333333333333334,0,0,0
FRIENDS OR FOES,Standard,1,SENÕR J,ycTWfDj2OJDBcpjn5DKa,MAIN CHARACTERS OG,tm_mgol0xhrx,26,52,52,14,14,3,3,50,"{""1"":0,""2"":23,""3"":3}","{""1"":21,""2"":3,""3"":18}","{""1"":21,""2"":3,""3"":18}","{""1"":1,""2"":36,""3"":13}",10,7,0,23,3,21,3,18,21,3,18,1,36,13,MC丨DELYNA,Class 1,55,200,0,255,8.67,8.666666666666666,0,0,0
FRIENDS OR FOES,Standard,1,ZINOPLAYS,yWni6juo4WjqiGJF3jyo,CIAO GUARDIANS,xZgUbwrDC2TK3wcpPUY3,25,30.9,30.864197530864196,7,7,3,3,81,"{""1"":3,""2"":13,""3"":9}","{""1"":12,""2"":6,""3"":3}","{""1"":12,""2"":6,""3"":3}","{""1"":16,""2"":27,""3"":38}",4,8,3,13,9,12,6,3,12,6,3,16,27,38,ZPYT۶.CHX,Class 1,75,324,0,399,8.33,8.333333333333334,0,0,0
FRIENDS OR FOES,Standard,1,H,1p147F2F2H3SBlfhv9jn,Marines Cartel,o7Dp7knjVTxhemRjJF7R,25,156.3,156.25,16,16,3,3,16,"{""1"":6,""2"":8,""3"":11}","{""1"":17,""2"":18,""3"":13}","{""1"":17,""2"":18,""3"":13}","{""1"":10,""2"":5,""3"":1}",21,9,6,8,11,17,18,13,17,18,13,10,5,1,ƝW~H | ¹LT,Class 1,35,64,0,99,8.33,8.333333333333334,0,0,0
FRIENDS OR FOES,Standard,1,GB CRYPTO,OxMhCUSkyAT0LrziaNDP,GOAT ESPORT,tm_ws9x2fl5b,24,25,25,6.33,6.333333333333333,3,3,96,"{""1"":1,""2"":8,""3"":15}","{""1"":16,""2"":2,""3"":1}","{""1"":16,""2"":2,""3"":1}","{""1"":14,""2"":45,""3"":37}",1,10,1,8,15,16,2,1,16,2,1,14,45,37,毒GOAT CRYPTO,Class 1,105,384,0,489,8,8,0,0,0
